State Abbr,Mean Charger Distance,Median Charger Distance
CA,0.3148679224357548,0.008363754795796567
VT,0.9694305364682968,0.13365805444808862
WA,0.6833446416008842,0.05627577459477911
OR,3.3146789164949166,0.13003715145046552
ID,5.036115676373484,0.2841333591352386
FL,0.7117267421934951,0.09537497878897191
WI,2.0360541662598295,0.2268986916363713
IA,2.6221912899414357,0.28577003843774135
NJ,0.5454626304508904,0.12019051930760305
TX,1.3072718412053976,0.14906649955713905
NY,0.6789449266681897,0.09087369553032151
SC,1.6963198515190816,0.34637742038157304
CT,0.720590586794606,0.24431396884498066
OH,0.8608812129303858,0.1707947996267762
WV,2.443959459389898,0.34201744101799125
MO,0.7020388762236557,0.004084870208542259
UT,0.6600526604254646,0.017160834296723066
KS,1.8529066367162708,0.0043630785840777595
MA,0.2404047272837964,0.007601155482274324
CO,0.5339249565666747,0.05967809877344756
IN,3.10786084912554,0.2669699456676395
MI,1.1572064658595012,0.14342998414353525
IL,1.0772898089650287,0.14862541009466573
NC,1.0883630029601787,0.19221945421610184
VA,0.8430921266106499,0.12154743979973374
TN,1.1790483140619448,0.13615794503781511
AL,2.1776175115609115,0.23138433429599983
AZ,0.838954867033886,0.10557551169214019
GA,1.147782900830587,0.06045968765298096
HI,0.7045524704964732,0.10876804148911386
MD,1.9425339188555628,0.14675524295507048
MN,1.691068395623027,0.18137535546555522
NV,1.3275089551444843,0.06723205891280959
AR,1.7535329879638029,0.2811286819451573
RI,0.3303365405721607,0.013446171491239802
PA,0.9182791155295289,0.15103883197274215
LA,8.419854747275702,0.3010503568452289
DC,3.68988703348774,0.05499704790641205
ME,1.4025373030530717,0.2741323339594636
NH,1.309602950775819,0.26442326555039913
KY,2.407738084603235,0.46816486468384794
NE,3.088584782313718,0.1476944052870096
MS,1.686870602060904,0.40162271738303035
SD,14.191878538430977,0.41316256430195336
DE,0.5067869227385171,0.1296719369307577
NM,2.6699962537415254,0.24374768297994837
OK,5.348838856159656,0.5095856258302743
MT,7.077028687433139,1.3852868795310482
ND,6.526371435611826,0.438423000063602
WY,5.226522449070299,0.44228060252692414
AK,5.099049144232145,0.6358866939403337
